Uber Type,City/Area Name,Market Name,State,Date Entered-Soft,Date Entered-Official,Date Left,Date Entered 2nd,Date Left 2nd,Source 1,Source 2,Source 3,Source 4,Notes
UberX,Calgary,Calgary,AB,,15-Oct-15,21-Nov-15,,,https://newsroom.uber.com/canada/en/calgary-your-uber-is-arriving-now/,https://newsroom.uber.com/canada/en/uberx-service-temporarily-suspended/,,,
UberX,Edmonton,Edmonton,AB,,18-Dec-14,1-Mar-16,,,https://newsroom.uber.com/canada/en/uberx-is-arriving-now-in-ottawa-2/,https://newsroom.uber.com/canada/en/temporary-suspension-of-service-in-the-city-of-edmonton/,,,
UberX,Anchorage,Anchorage,AK,,18-Sep-14,6-Mar-15,,,https://newsroom.uber.com/us-alaska/uber-to-launch-in-anchorage-with-free-rides/,http://www.huffingtonpost.com/2015/03/06/uber-anchorage-oregon-lawsuit_n_6820966.html,,,
UberX,Auburn,Auburn,AL,,28-Aug-14,15-Jan-15,,,https://newsroom.uber.com/uber-is-in-session/,http://www.al.com/news/index.ssf/2015/01/uber_leaves_auburn_because_of.html,,," Auburn, ALês URL was for Montgomery, which causes issues matching the Internet Archive data to the hand collected data"
UberX,Birmingham,Birmingham,AL,,28-Dec-15,,,,https://newsroom.uber.com/us-alabama/birmingham-your-uber-is-arriving-now/,,,,
UberX,Huntsville,Huntsville AL,AL,,4-Mar-16,,,,http://whnt.com/2016/03/03/uber-huntsville-launches-friday-at-4-p-m/,,,,
UberX,Mobile,Mobile,AL,,11-Jun-15,,,,https://newsroom.uber.com/us-alabama/algulfcoast/,,,,
UberX,Montgomery,Montgomery,AL,,4-Feb-16,,,,http://www.wsfa.com/story/31146688/uber-drivers-launch-service-in-montgomery,,,,
UberX,Tuscaloosa,Tuscaloosa,AL,,28-Aug-14,8-Oct-14,,,https://newsroom.uber.com/uber-is-in-session/,http://www.al.com/news/tuscaloosa/index.ssf/2014/10/tuscaloosa_gives_uber_ultimatu.html,http://www.tuscaloosanews.com/article/20141021/NEWS/141029923/0/search,,
UberX,Fayetteville,Fayetteville,AR,,28-Aug-14,,,,https://newsroom.uber.com/uber-is-in-session/,,,,
UberX,Little Rock,Little Rock,AR,,6-Nov-14,,,,https://newsroom.uber.com/us-arkansas/little-rock-your-uber-is-arriving-now/,,,,
UberX,Flagstaff,Flagstaff,AZ,,18-Sep-14,,,,https://newsroom.uber.com/us-arizona/uber-launches-flagstaff-with-free-rides/,,,,
UberBlack,Phoenix,Phoenix,AZ,,14-Nov-12,,,,http://aztechbeat.com/2012/11/uber-launches-its-on-demand-driving-service-publicly-in-phoenix/,,,,
UberX,Phoenix,Phoenix,AZ,,5-Sep-13,,,,https://newsroom.uber.com/us-arizona/summer-is-out-uberx-is-in-with-free-rides/,,,,
UberX,Tucson,Tucson,AZ,,10-Oct-13,,,,https://newsroom.uber.com/us-arizona/home-town-heroes-calexico-welcome-uber-to-tucson/,,,,
UberX,Yuma,Yuma,AZ,,12-Jun-15,,,,https://newsroom.uber.com/us-arizona/yuma-launch/,,,,
UberX,Bakersfield,Bakersfield,CA,,13-Jun-14,,,,https://newsroom.uber.com/us-california/bakersfield-your-uber-is-arriving-now/,,,,
UberX,Fresno,Fresno,CA,,5-Feb-14,,,,https://newsroom.uber.com/us-california/49685-2/,,,,
UberX,Visalia,Fresno,CA,,1-Dec-14,,,,http://www.visaliatimesdelta.com/story/news/local/2014/12/12/rideshare-company-arrives-visalia/20291083/,,,,
UberX,Riverside,Inland Empire,CA,,29-May-14,,,,https://newsroom.uber.com/us-california/ie-your-uber-has-arrived-and-its-free/,,,,
